city,year,month,mean_daily_max_uvi
Perth,2022,6,3.0646666666666667
Perth,2022,7,3.1599999999999997
Perth,2022,8,4.394516129032258
Perth,2022,9,6.617
Perth,2022,10,8.900967741935483
Perth,2022,11,11.610333333333333
Perth,2022,12,12.416774193548388
Perth,2023,1,12.623548387096774
Perth,2023,2,11.2925
Perth,2023,3,9.25
Perth,2023,4,6.2123333333333335
Perth,2023,5,3.544516129032258
Perth,2023,6,2.5473333333333334
Perth,2023,7,2.945806451612903
Perth,2023,8,4.22741935483871
Perth,2023,9,6.128666666666667
Perth,2023,10,8.49
Perth,2023,11,10.29
Perth,2023,12,11.755806451612903
Perth,2024,1,12.194516129032259
Perth,2024,2,11.414827586206895
Perth,2024,3,9.285806451612904
Perth,2024,4,5.901666666666667
Perth,2024,5,3.5864516129032262
Perth,2024,6,2.826
Perth,2024,7,3.1593548387096773
Perth,2024,8,4.41258064516129
Perth,2024,9,6.381
Perth,2024,10,8.698064516129032
Perth,2024,11,10.064666666666666
Perth,2024,12,12.040000000000001
Sydney,2022,1,11.795806451612904
Sydney,2022,2,10.947857142857144
Sydney,2022,3,8.280967741935482
Sydney,2022,4,5.646333333333333
Sydney,2022,5,3.356451612903226
Sydney,2022,6,2.4836666666666667
Sydney,2022,7,2.4335483870967742
Sydney,2022,8,3.950967741935484
Sydney,2022,9,5.838666666666667
Sydney,2022,10,8.178064516129032
Sydney,2022,11,10.052
Sydney,2022,12,11.279032258064515
Sydney,2023,1,11.26774193548387
Sydney,2023,2,10.203214285714285
Sydney,2023,3,7.679354838709678
Sydney,2023,4,5.316333333333334
Sydney,2023,5,3.0048387096774194
Sydney,2023,6,2.1496666666666666
Sydney,2023,7,2.553225806451613
Sydney,2023,8,3.4793548387096775
Sydney,2023,9,5.305666666666666
Sydney,2023,10,7.734516129032259
Sydney,2023,11,9.081
Sydney,2023,12,10.410645161290324
Sydney,2024,1,11.975806451612904
Sydney,2024,2,10.504827586206897
Sydney,2024,3,8.064838709677419
Sydney,2024,4,4.8886666666666665
Sydney,2024,5,2.9819354838709677
Sydney,2024,6,2.037333333333333
Sydney,2024,7,2.4696774193548388
Sydney,2024,8,3.61258064516129
Sydney,2024,9,5.408333333333333
Sydney,2024,10,7.608387096774194
Sydney,2024,11,9.138
Sydney,2024,12,11.20774193548387
