state_code,state_name,capital,annual_mean_uvi,peak_month,peak_uvi
NT,Northern Territory,Darwin,11.393564366786142,3,13.880322580645162
QLD,Queensland,Brisbane,8.118385406918916,1,12.89483870967742
WA,Western Australia,Perth,7.585480511120529,1,12.23247311827957
NSW,New South Wales,Sydney,6.7313069320114645,1,11.679784946236559
SA,South Australia,Adelaide,6.6127193707293825,1,11.607634408602152
ACT,Australian Capital Territory,Canberra,6.406104658468256,1,11.467741935483872
VIC,Victoria,Melbourne,5.864613188669362,1,10.545913978494623
TAS,Tasmania,Hobart,5.1534172758091,12,10.55537634408602
